"","user","tweet","HCCA_category","true_label","HCCA_label","true_category"
"30","smashbucks","Busty brunette does two jobs: blow and titty https://t.co/n1vpWFeFLS","Junk",1,1,"Junk"
"31","HR Jobs Austin","Jobs available in #Austin. Apply now and land the job of your dreams http://t.co/tFauzG2Oo0","Advertisement",2,2,"Advertisement"
"32","Сlara Rudhall","RT @FindCoolJobs Online writing jobs for freelance writers https://t.co/JmZj66sFcD https://t.co/bOn9gRWxpm","Other",2,4,"Advertisement"
"33","NYC Management Jobs","Want to work in #WhitePlains, NY? View our latest opening: http://t.co/22kXiH3vLo #BusinessMgmt #Job #Jobs #Hiring #CareerArc","Advertisement",2,2,"Advertisement"
"34","Stylish Princesss","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Personal",2,5,"Advertisement"
"35","Virginia Jobs & Work","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"36","Jobs in San Jose","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"37","Charlotte jobs","#jobs4u #jobs #QC RoofTec Roofing Maintenance Assistant http://t.co/S7oP8o5Dzo #CLT #charlotte #NC","Advertisement",2,2,"Advertisement"
"38","Finance Jobs","#Waiters! Urgent starts in sales & customer service! #Australia # #Wed, 14 Sep 2016 19:00:11 GMT: ... https://t.co/rNbg5gO0ox","Advertisement",2,2,"Advertisement"
"39","TMJ-TN HRTA Jobs","Want to work in #Chattanooga, TN? View our latest opening: https://t.co/Ms1GHGFgG9 #Hospitality #SONIC #Job #Jobs #Hiring #CareerArc","Advertisement",2,2,"Advertisement"
"40","ZipRecruiter Jobs","Lesson Pro is hiring Spanish teacher / Spanish language coach /Spanish Instructor http://t.co/4lcEVhN3Yx #jobs","Advertisement",2,2,"Advertisement"
"41","TMJ-HOU IT Adm. Jobs","Want to work at Memorial Hermann? We're #hiring in #Houston, TX! Click for details: https://t.co/M1U1VS25M6 #Job #IT #Jobs #CareerArc","Advertisement",2,2,"Advertisement"
"42","MJGD","@Reuters and what is Sander's solution to keeping jobs here?","Personal",3,5,"News/Politics"
"43","Marketing Newark","Apply now to work for Nestlé #jobs http://t.co/0o7uMycrqE http://t.co/DLtjoO4xSw","Advertisement",2,2,"Advertisement"
"44","Santa Ana Jobs","#Job Alert: #SantaAna #Jobs Nationwide Travel / Locum Tenen NP Jobs Nurse… https://t.co/VkxXkBsdlu For More Jobs >>> Please Go2 Our Page!","Advertisement",2,2,"Advertisement"
"45","Ft. Lauderdale HR","#HR #Job alert: Human Resources Specialist | Sunshine Health | #Sunrise, FL http://t.co/VPoS7Mag6x #Jobs #Hiring","Advertisement",2,2,"Advertisement"
"46","Jobs Healthcare Loui","Looking for a #Medical #Technologist II, JH-Lab 2nd Shift, Full Time, 2nd Sh #jobs http://t.co/eahZSnHpxZ","Advertisement",2,2,"Advertisement"
"47","Mesa jobs","RT @jobs4PHX #jobs4u #jobs Associate Attorney http://t.co/uIrTxWTULj #PHX #phoenix #AZ","Advertisement",2,2,"Advertisement"
"48","TheJobNetwork","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"49","Health Jobs","★ JOB ★ #hiring #job #Boston - HEDIS Reviewer - RN or LPN Needed http://t.co/fRxjh3exfW ☜ view #jobs #hr","Advertisement",2,2,"Advertisement"
"50","Dallas Jobs","#Dallas #Jobs Hiring Delivery Drivers NOW!! (Mesquite): Now Hiring Delivery Drivers for Domino's Pizza locatio... http://t.co/kCJyMNKVVk","Advertisement",2,2,"Advertisement"
"51","Energy Efficiency","RT @JoinICF Our team in #Columbia, MD is growing and looking for a QA/QC Specialist. Apply: https://t.co/2iwgq972cd #EnergyEfficiency #jobs","Advertisement",2,2,"Advertisement"
"52","TMJ-TN HRTA Jobs","Want to work at SONIC Drive-In? We're #hiring in #Wartburg, TN! Click for details: https://t.co/IHcDPHovha #Job #SONIC #Hospitality #Jobs","Advertisement",2,2,"Advertisement"
"53","Regions Bank","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Personal",2,5,"Advertisement"
"54","OfficeTeam Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"55","Legal Washington","New #job opening at Earthjustice Headquarters in #Washington - #Associate #Attorney #jobs http://t.co/WGb2glW89y","Advertisement",2,2,"Advertisement"
"56","Cleveland Jobs","Operations Coordinator Jobs in Cleveland, OH #Cleveland #OH #jobs #jobsearch https://t.co/6Rpy0QiiLw","Advertisement",2,2,"Advertisement"
"57","Lavriple Jobs CT","#Ctjobs #jobs Customer Care Wanted - (9am-1pm) No Weekends $14.98hour (hartford) http://t.co/qLgINsUBWv","Advertisement",2,2,"Advertisement"
"58","Alessandra","RT @FindCoolJobs Click here to find millions of jobs from thousands of company web sites https://t.co/wI6lSO7uhZ https://t.co/pPV3cUl362","Other",2,4,"Advertisement"
"59","winter trilliaga","i do love my jobs so i am grateful","Personal",5,5,"Personal"
"60","Fitness Jobs","SEA #fitness #jobs SoulCycle Front Desk Staff-Bellevue: SOULCYCLE IS OPENING A NEW STUDIO IN NEW YORK CITY! W... https://t.co/YNgAforSwf","Advertisement",2,2,"Advertisement"
"61","CatalystFive Jobs","Class A CDL Driver #Detroit #Jobs https://t.co/n2T0HPY05l","Advertisement",2,2,"Advertisement"
"62","Seattle jobs","#jobs4u #jobs Senior Product Manager, Global Seller Acquisition & Development, Amazon Marketplace http://t.co/gJ8QHHFIhQ #SEA #seattle #WA","Advertisement",2,2,"Advertisement"
"63","TMJ-BOS Retail Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"64","Jobs in Rochester","#Job #Rochester (USA-NY-Rochester) Truck Driver: ### New York Class A CDL Truck Driver | $60,000 a year + ... https://t.co/9ZyUm2pXgM","Advertisement",2,2,"Advertisement"
"65","Hoffman Estates Jobs","#Job Alert: #HoffmanEstates #Jobs CDL-A Company Tanker Driver Opportunities:… https://t.co/2h6e7iIVs4 For More Jobs >>> Please Go2 our Page!","Advertisement",2,2,"Advertisement"
"66","Greenwich Jobs","#Greenwich #Jobs Retail Sales Consultant - Greenwich, CT - ATT - Greenwich, CT - AT&T: So Much More of What You Wo... http://t.co/tdXGTaS5ei","Advertisement",2,2,"Advertisement"
"67","Valerie Young","RT @PaidLeaveUS It's not like parents who work hourly jobs have less demanding babies. https://t.co/CHWoJkVuR2","Other",4,4,"Other"
"68","XLC","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Personal",2,5,"Advertisement"
"69","North Carolina Jobs","Watering position is open for apply in #Greensboro, #NC https://t.co/76yYKoVVbo #jobs #hiring","Advertisement",2,2,"Advertisement"
"70","Jobs at Oracle","#Bangalore #IT #Job: Sr Software Developer 4 at Oracle http://t.co/9DWXPaAnzO #Jobs #Hiring","Advertisement",2,2,"Advertisement"
"71","Antimaydan Novoros","apartment manager jobs: Apartment Manager Job Description | eHow Apartment managers implement strateg... http://t.co/qUvQLw3mnV #Rental","Other",2,4,"Advertisement"
"72","Web's Eye View","#HomeBasedBusiness: Home-based business awards for retreat: KALYAANA Spa and W... http://t.co/8qg55S95yf +#JOBS↬http://t.co/JP9mdnVuDM","Advertisement",4,2,"Other"
"73","B-LAK Express LLC","#quote Hope. Smiles from the threshold of the year to come, Whispering ""it will be happier""~Alfred Tennyson #NewYear #jobs #newjob #wanted","Advertisement",5,2,"Personal"
"74","Denver Jobs","#Denver #Jobs Truck Driver - Greeley Regional Fleet - Immediate Opportunity!: Westminster CDL-A Truck Driver O... http://t.co/siKjbzsmxx","Advertisement",2,2,"Advertisement"
"75","Admnistrative jobs","#jobs4u #jobs Administrative Assistant to the Chief Administrative Officer at Western State Ho... http://t.co/lHeyqbPlyn #administrative","Advertisement",2,2,"Advertisement"
"76","Connecticut Jobs","#ConnecticutJobs #CTjobs #jobs Sort Observation for Package Handler - Fed-Ex Ground - Willington, CT see➔ https://t.co/K37OFT9RT9","Junk",2,1,"Advertisement"
"77","Zubie","@rbakes98 if you come to ASU the jobs yours","Personal",5,5,"Personal"
"78","Julio","I can't stand it when people say they don't have time when they are in school and have a job I basically work 2 full time jobs and make time","Personal",5,5,"Personal"
"79","New York Jobs","★ JOB ALERT ★ #jobs #job #New York - Nurse (RN \ LPN) Needed Trach \ Vent Client… http://t.co/92vYhn4k27 ☜ view details #hr #job #hiring","Advertisement",2,2,"Advertisement"
"80","SnapJobSearch USA","Now #hiring Instructional Designer I in #Eagan, #MN https://t.co/vWcshA6nw7 #jobs #job","Advertisement",2,2,"Advertisement"
"81","Phoenix Jobs","Receptionist Clerk Jobs in Phoenix, AZ #Phoenix #AZ #jobs #jobsearch https://t.co/A52wwexIxQ","Advertisement",2,2,"Advertisement"
"82","Cheyenne Jobs","#Job Alert: #Cheyenne #Jobs Family Practice/Primary Care - RN: Next Medical… https://t.co/OIA4w6N4Ae For More Jobs >>> Please Go2 Our Page!","Advertisement",2,2,"Advertisement"
"83","Pastor Mario Ramos","500 People Just Lost Their Jobs Because of Trump https://t.co/vLz57p3gr1","News/Politics",3,3,"News/Politics"
"84","Grand Prairie Jobs","#GrandPrairie #Jobs Pharmacy Technician: Tom Thumb - Grand Prairie, TX - Safeway pharmacy… http://t.co/QQs7s7vNKT #Job #GrandPrairieJobs","Junk",2,1,"Advertisement"
"85","DT","@greggutfeld globalization lowered food cost but at what long term costs. Fed Gov employs 1.8 to 1 MFG jobs. Capitalism supports social.","Personal",3,5,"News/Politics"
"86","TMJ - SAT IT Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"87","99 Temp Jobs","Unemployed 20-somethings hits new high for H1 http://t.co/hYaWQPROW1 #jobs","Advertisement",3,2,"News/Politics"
"88","Las Vegas Jobs","#LasVegas #Job Physician Assistant, Nellis AFB at Platinum Business (Las Vegas, NV): Job Description Outstandi... http://t.co/1peeHIDF9i","Advertisement",2,2,"Advertisement"
"89","Paralegal Jobs","Real Estate Transactional Legal Assistant Job Denver Co Jobs #jobs #jobsearch https://t.co/hwHMzYf3lG","Advertisement",2,2,"Advertisement"
"90","TMJ-OH Retail Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"91","SnapJobSearch USA","Looking for a job in #Kennewick, #WA? Full Time Lumber https://t.co/RCqZpNvGxY #jobs #hiring","Advertisement",2,2,"Advertisement"
"92","American Girls","RT @collezbabess Degree worthless? Top 10 High Paying Jobs that Require No College Degree https://t.co/Hrq63Aw1Yi https://t.co/yjdS1oeACJ","Other",4,4,"Other"
"93","Portland Jobs","Assistant V Document Control Jobs in Portland, OR #Portland #OR #jobs #jobsearch https://t.co/npXTLPwTG4","Advertisement",2,2,"Advertisement"
"94","Kari Lynn Goettl","@RockyMntnMike Who knows under them white sheets they could be giving each other hand jobs. Stroking each others ego!","Junk",1,1,"Junk"
"95","FL Hospitality Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"96","Grand Rapids Jobs","#GrandRapids #Jobs Billing Specialist: Wyoming A client in Grandville, MI is looking for a Billing Specialist.... http://t.co/K8u6Q6cJN2","Advertisement",2,2,"Advertisement"
"97","Omaha jobs","#jobs4u #jobs Audio Visual Technologist - TS/SCI http://t.co/jzhzCiPAUf #OMA #omaha #NE","Advertisement",2,2,"Advertisement"
"98","Kathrine Z","#3: Steve Jobs: Steve Jobs Walter Isaacson (Author) (3656) Buy new: $35.00 $19.65 1030 used & new from $0.24... http://t.co/e6VhETIEZY","Junk",1,1,"Junk"
"99","Bill Scher","RT @morningmoneyben Still waiting to hear from jobs report truthers who cited jobless claims as evidence. Claims now lowest since '06. http://t.co/T8XT4vZnwB","Other",3,4,"News/Politics"
"100","IT Jobs Ohio","★ JOB ★ #hiring #ITJob #Job #Cleveland - Technical Test Analyst http://t.co/FC6qjSADad ☜ view details #jobs","Advertisement",2,2,"Advertisement"
"101","Austin Jobs","Apply now for Oracle Analyst in #Austin, #TX https://t.co/tvCvQSDmbr #jobs #hiring","Advertisement",2,2,"Advertisement"
"102","Phoenix Jobs","Sprint Store By Fast Wireless Retail Store Manager Legacy Village Jobs in Phoenix, AZ #Phoenix #AZ #jobs #jobsearch https://t.co/lv7wA5ixhj","Advertisement",2,2,"Advertisement"
"103","Jobs in Germantown","#Job #Germantown Truck Driver Jobs: Glenelg Eyre Bus Service, located outside of Columbia, is Maryland's premi... http://t.co/hOzw2915ZR","Advertisement",2,2,"Advertisement"
"104","Newark FacMgmt","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Personal",2,5,"Advertisement"
"105","Dale Parkinson","RT @HillaryClinton Our economy added 287,000 jobs last month—just another reminder of how far we've come under @POTUS: https://t.co/MGqgy6oloe","News/Politics",3,3,"News/Politics"
"106","Cleveland Jobs","#Cleveland #Jobs Experienced Contractors Needed- Full House Rehabs (Suburbs of Cleveland ): Growing real estat... http://t.co/febP8uZ5di","Advertisement",2,2,"Advertisement"
"107","Fox Ashley","Cruise Line Employment https://t.co/NXlHEsnpVS Jobs","Other",2,4,"Advertisement"
"108","TMJ-WAS Acct. Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"109","TMJ-PA Manuf Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"110","Gil","RT @TheDailyEdge REMINDER: Bush invaded Iraq by mistake, promised tax cuts for the rich would create 8M jobs & crashed the economy. But didn't get sued.","Personal",3,5,"News/Politics"
"111","Joseph Som","#QOTD ""Innovation distinguishes between a leader and a follower."" - Steve Jobs #motivational https://t.co/3lg2lbJA8F","Junk",1,1,"Junk"
"112","Transport Jobs","★ JOB ★ #hiring #job #Columbus - New CDL Truck Driver - 40 CPM & $1,500 BONUS! http://t.co/FaHTxdcHu2 ☜ view #jobs #hr","Advertisement",2,2,"Advertisement"
"113","misscassie909","In setback, U.S. adds only 142,000 jobs http://t.co/luNlAAPZd4","Other",3,4,"News/Politics"
"114","Link Basket","@hunter_fierro @dayton_fierro that's why I have 2 jobs and pay for everything I own. My parents don't buy anything for me.","Personal",5,5,"Personal"
"115","jobsearch jobs 2016","#jobs #jobsearch #Georgia #Cell Technician I: #GA-Alpharetta, Responsibilities: Repairs or repla... https://t.co/NHzXzThZ5x","Advertisement",2,2,"Advertisement"
"116","ZipRecruiter Jobs","N2 Publishing is #hiring Area Sales Director & Publisher (1740) in Chadron, NE http://t.co/5o4wyt1zLB #jobs #Chadron #Sales","Advertisement",2,2,"Advertisement"
"117","Barbara Ebel, MD","RT @SusanCS Please Visit: http://t.co/w5tjW2xHpN If You Can Do These Jobs as Shown in Image Retweet Please #Jobs #OnlineJobs http://t.co/8iZQzuSQM3","Advertisement",2,2,"Advertisement"
"118","TMJ- SAT Constr Jobs","#SanAntonio, TX #Energy #Job: Journeyman Electrician - Solar at Aerotek http://t.co/6y58F932qa #Jobs","Advertisement",2,2,"Advertisement"
"119","RH Finance Jobs","We're #hiring! Click to apply: Staff Accountant - https://t.co/6OgMAJFj3t #Accounting #RHFAJobs #FtLauderdale, FL #Job #Jobs","Advertisement",2,2,"Advertisement"
"120","Lavriple Jobs IL","Jobs in #Chicago #illinois Security Officer-Valparaiso (Valparaiso) http://t.co/isdeyNrE3F","Advertisement",2,2,"Advertisement"
"121","TMJ-RIP Transp. Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"122","TMJ-CA HRTA Jobs","We're #hiring! Click to apply: Cook - http://t.co/KN5e1kr6SR #Hospitality #SONIC #Bakersfield, CA #Job #Jobs #CareerArc","Advertisement",2,2,"Advertisement"
"123","Funky Cold Edema","RT @TheDemocrats 2 months ago Donald Trump said Wall Street executives wanted to ""take your jobs"" and ""take your money."" Now, they'r… https://t.co/2CdAJ5UVxF","News/Politics",3,3,"News/Politics"
"124","Legislative Jobs","Spring Intern (paid) - Republican Study Committee (RSC) http://t.co/QFq80UezI1 #jobs","Advertisement",2,2,"Advertisement"
"125","TMJ-AZS HRTA Jobs","Want to work at Paradise Bakery? We're #hiring in #Mesa, AZ! Click for details: https://t.co/WMpG45qfyv #Job #parttime #Veterans #Jobs","Advertisement",2,2,"Advertisement"
"126","climber.com","Sales Professional - Anchorage, AK 99501, US #jobs #Anchorage pls RT: Since 2012, Solutions iT has been providing… https://t.co/L5oAYnIus2","Advertisement",2,2,"Advertisement"
"127","TMJ-IND Security Job","Apollo International #security #Job: Security Officer (#Columbus, IN) http://t.co/PYcBfW3BWi #Veterans #Jobs #Hiring #CareerArc","Advertisement",2,2,"Advertisement"
"128","Missouri Nursing Job","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"129","Sales Philadelphia","#Representative #- Club needed in #Philadelphia at American Airlines. Apply now! #jobs http://t.co/17OBD0W25y","Advertisement",2,2,"Advertisement"
"130","Jobs Pensacola","#Dock #Lead Specialist needed in #Pensacola at Bealls, Inc. Apply now! #jobs http://t.co/06aCtijIoc","Advertisement",2,2,"Advertisement"
"131","Healthcare Dallas","Baylor Scott & White Health is looking for a #Radiologic #Technologist I in #Dallas, apply now! #jobs https://t.co/fzML9MZ1iD","Advertisement",2,2,"Advertisement"
"132","Noah Phil","RT @BestOFMaMaa Degree worthless? Top 10 High Paying Jobs that Require No College Degree https://t.co/Ai9DrSVaap https://t.co/GtlBBPvNZb","Other",4,4,"Other"
"133","Cognizant Careers US","#SanFranciscoii, CA #IT #Job: Informatica developer at Cognizant http://t.co/Mhma1SYnZw #Jobs #TweetMyJobs","Advertisement",2,2,"Advertisement"
"134","Burly Girly","Place to place. Obviously with how jobs are right now I can't do that. But I think that's the great thing about wanting to be an artist","Personal",5,5,"Personal"
"135","XS Promoter - Kenny","RT @jobfindlyvegas Kitchen Assistant Jobs in Las Vegas, NV #LasVegas #NV #jobs #jobsearch https://t.co/EaVtGlS5EZ","Advertisement",2,2,"Advertisement"
"136","Buckeye HP Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"137","Tegiminis","@LewisLambeth if the british press did their jobs they'd actually be more fiercely critical of UKIP and their ilk","Personal",3,5,"News/Politics"
"138","Rahel Tibbott","RT @TaniaFogarty Interesting facts you should know about Steve Jobs http://t.co/xS68XH1dhc","Junk",1,1,"Junk"
"139","TMJ-MGM HRTA Jobs","SONIC Drive-In: Carhop/Skating Carhop (Server) (#Montgomery, AL) https://t.co/FT5q38Q5zb #Hospitality #SONIC #Job #Jobs #Hiring #CareerArc","Advertisement",2,2,"Advertisement"
"140","Yankee Social Deals","Home Based Computer Jobs Freelance Part Time https://t.co/ompp5dr8ht #ClassifiedSense","Other",2,4,"Advertisement"
"141","Jobs Transportation","Apply now to work for Jobsball as #Class #A CDL Truck Driver - Experienced Drivers Earn Top Pay! in #Lexington #jobs https://t.co/NaUVgfa23D","Advertisement",2,2,"Advertisement"
"142","TMJ-WAS CstSrv Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"143","Fox Ashley","Get A Railroad Job https://t.co/QJBAoRHkYl Jobs","Other",2,4,"Advertisement"
"144","Olathe Jobs","Olathe Jobs: Company Truck Driver-CDL-A-Weekly Hometime: Olathe, KS - bonus driver trucks trucking... http://t.co/BP6eOsjIrd #OlatheJobs","Advertisement",2,2,"Advertisement"
"145","Marketing Jobs Tampa","Outsource is hiring a #Social #Media / Marketing Specialist (Tampa), apply now! #Tampa #jobs http://t.co/DooTfolzBJ","Advertisement",2,2,"Advertisement"
"146","Lauren Parks PHR ✨","★ JOB ★ #hiring #ITJob #Job #New York - Telecommute Technical Operations Engineer in New York http://t.co/YUd1XkjWwZ ☜ view details #jobs","Advertisement",2,2,"Advertisement"
"147","A    E    S","Steve Jobs on Education & Conspiracy Theories https://t.co/R23KsuzrJT via @YouTube","Junk",1,1,"Junk"
"148","Detroit Jobs","★ JOB ★ #hiring #ITJob #Job #Detroit - Systems Requirement Engineer (Detroit) http://t.co/jlz6igqZMJ ☜ view details #jobs","Advertisement",2,2,"Advertisement"
"149","HEA-Employment.com","Looking For A Date Night Caregiver In Itasca... #Itasca #Illinois #Jobs https://t.co/I8IDfxmIkd | https://t.co/U7VfOgz2dJ","Advertisement",2,2,"Advertisement"
"150","Tech is Everything","Pokémon Go finally goes live in Japan with McDonald’s the first sponsored location: Pokémon Go has finally la... https://t.co/NGCaD6QqGh","Other",4,4,"Other"
"151","Jobs Mobile","National Vision is hiring a #SALES #ASSOCIATE, apply now! #Mobile #jobs http://t.co/j7eXjJiNKa","Advertisement",2,2,"Advertisement"
"152","Winn-Dixie Careers","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"153","Las Vegas Jobs","#LasVegas #Jobs Nurse: Las Vegas Nurse Position Summary You earned the degree-now get the respect. Nurses are ... http://t.co/z54DZ5RrOQ","Advertisement",2,2,"Advertisement"
"154","TMJ-CA-US Sales","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"155","Georgia Jobs","New #job opportunity of Wholesale Risk Cross in #Atlanta, #GA https://t.co/RGk0qWMP97 #jobs #hiring","Advertisement",2,2,"Advertisement"
